             PNBs in 6 round Chaskey with bias limit 0.3                                  
************************************************************************************************
     KeyBit                      Bias   

    0                         0.999451      

    1                         0.999115      

    2                         0.998138      

    3                         0.996552      

    4                         0.993744      

    5                         0.987885      

    6                         0.979218      

    7                         0.960968      

    8                         0.932373      

    9                         0.879456      

    10                         0.792969      

    11                         0.664673      

    12                         0.474701      

    16                         0.982697      

    17                         0.966614      

    18                         0.941284      

    19                         0.899628      

    20                         0.866241      

    21                         0.737213      

    22                         0.533813      

    25                         0.45993      

    32                         0.967407      

    33                         0.93396      

    34                         0.8703      

    35                         0.764404      

    36                         0.559601      

    39                         0.764587      

    40                         0.559692      

    43                         0.826599      

    44                         0.725098      

    45                         0.571259      

    46                         0.374573      

    51                         0.7435      

    52                         0.61496      

    53                         0.449615      

    58                         0.999634      

    59                         0.999115      

    60                         0.998047      

    61                         0.99585      

    62                         0.991028      

    63                         0.982849      

    67                         0.742859      

    68                         0.611694      

    69                         0.452576      

    74                         0.99173      

    75                         0.984406      

    76                         0.970428      

    77                         0.948334      

    78                         0.908234      

    79                         0.879913      

    80                         0.763702      

    81                         0.557892      

    84                         0.531891      

    87                         0.355835      

    92                         0.638      

    93                         0.472504      

    96                         1      

    97                         1      

    98                         1      

    99                         1      

    100                         1      

    101                         1      

    102                         1      

    103                         1      

    104                         0.999969      

    105                         0.999878      

    106                         0.999786      

    107                         0.999664      

    108                         0.998901      

    109                         0.997711      

    110                         0.995605      

    111                         0.991882      

    112                         0.981873      

    113                         0.967987      

    114                         0.939423      

    115                         0.901215      

    116                         0.860931      

    117                         0.740967      

    118                         0.532654      

    121                         0.458801      

0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 21, 22, 25, 32, 33, 34, 35, 36, 39, 40, 43, 44, 45, 46, 51, 52, 53, 58, 59, 60, 61, 62, 63, 67, 68, 69, 74, 75, 76, 77, 78, 79, 80, 81, 84, 87, 92, 93, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 121121, }

